	# reads	% reads	fragment length	sample
4	876	0.026628082291717328	16	ribopools_2
5	3073	0.09341106950051067	17	ribopools_2
6	14091	0.42832911823354897	18	ribopools_2
7	39078	1.187867807985993	19	ribopools_2
8	171299	5.207036379553523	20	ribopools_2
9	592620	18.01408005447206	21	ribopools_2
10	336785	10.237372939059384	22	ribopools_2
11	110825	3.368786780798599	23	ribopools_2
12	53007	1.611272554836827	24	ribopools_2
13	74396	2.2614415641262586	25	ribopools_2
14	187992	5.714459413452653	26	ribopools_2
15	339698	10.325920431885608	27	ribopools_2
16	422425	12.84060235397111	28	ribopools_2
17	499130	15.172231408978163	29	ribopools_2
18	296124	9.001386119352171	30	ribopools_2
19	97960	2.977724818831769	31	ribopools_2
20	27215	0.8272639949418803	32	ribopools_2
21	13384	0.4068381888040465	33	ribopools_2
22	5754	0.17490637614902	34	ribopools_2
23	1680	0.051067555080005836	35	ribopools_2
24	490	0.014894703565001702	36	ribopools_2
25	451	0.013709206750644423	37	ribopools_2
26	209	0.00635304703078644	38	ribopools_2
27	107	0.003252516900928943	39	ribopools_2
28	44	0.0013374835854287244	40	ribopools_2
0	12	0.0001857109075444437	12	ribopools_no_heat_1
1	30	0.0004642772688611093	13	ribopools_no_heat_1
2	198	0.003064229974483321	14	ribopools_no_heat_1
3	583	0.009022454924867557	15	ribopools_no_heat_1
4	1056	0.016342559863911046	16	ribopools_no_heat_1
5	2708	0.04190876146919613	17	ribopools_no_heat_1
6	10232	0.15834950049956234	18	ribopools_no_heat_1
7	50867	0.7872130611719349	19	ribopools_no_heat_1
8	289989	4.487843363992141	20	ribopools_no_heat_1
9	1079250	16.702374747278405	21	ribopools_no_heat_1
10	636998	9.858123056999629	22	ribopools_no_heat_1
11	213499	3.3040910874859324	23	ribopools_no_heat_1
12	102532	1.5867758976955753	24	ribopools_no_heat_1
13	147860	2.2882678991267875	25	ribopools_no_heat_1
14	379722	5.8765431028826045	26	ribopools_no_heat_1
15	701169	10.851227611002505	27	ribopools_no_heat_1
16	880235	13.622436725198618	28	ribopools_no_heat_1
17	1041418	16.116890159426625	29	ribopools_no_heat_1
18	615423	9.524230321143682	30	ribopools_no_heat_1
19	206421	3.194552603852635	31	ribopools_no_heat_1
20	56036	0.867208034596704	32	ribopools_no_heat_1
21	27499	0.4255720205470548	33	ribopools_no_heat_1
22	11807	0.18272405711477058	34	ribopools_no_heat_1
23	3395	0.052540710926115536	35	ribopools_no_heat_1
24	970	0.015011631693175867	36	ribopools_no_heat_1
25	892	0.013804510794136983	37	ribopools_no_heat_1
26	448	0.006933207214992566	38	ribopools_no_heat_1
27	237	0.0036677904240027632	39	ribopools_no_heat_1
28	170	0.002630904523546286	40	ribopools_no_heat_1
0	4	6.157956826872585e-05	12	ribopools_no_heat_2
1	12	0.00018473870480617755	13	ribopools_no_heat_2
2	87	0.001339355609844787	14	ribopools_no_heat_2
3	373	0.005742294741058685	15	ribopools_no_heat_2
4	1210	0.018627819401289568	16	ribopools_no_heat_2
5	6433	0.09903534066817835	17	ribopools_no_heat_2
6	28238	0.4347209621930701	18	ribopools_no_heat_2
7	70929	1.0919442994331139	19	ribopools_no_heat_2
8	316447	4.871667409983372	20	ribopools_no_heat_2
9	1135531	17.481377183938633	21	ribopools_no_heat_2
10	655639	10.093491640034786	22	ribopools_no_heat_2
11	217000	3.3406915785783773	23	ribopools_no_heat_2
12	103440	1.5924476354292505	24	ribopools_no_heat_2
13	148250	2.2822927489596516	25	ribopools_no_heat_2
14	376091	5.789880352438343	26	ribopools_no_heat_2
15	683274	10.518929482311346	27	ribopools_no_heat_2
16	847803	13.051835679232644	28	ribopools_no_heat_2
17	1003448	15.447973655029104	29	ribopools_no_heat_2
18	598741	9.217553071196296	30	ribopools_no_heat_2
19	203442	3.131967631931531	31	ribopools_no_heat_2
20	56804	0.8744914489841757	32	ribopools_no_heat_2
21	26464	0.4074104236658902	33	ribopools_no_heat_2
22	10879	0.16748103079886711	34	ribopools_no_heat_2
23	2874	0.04424491980107952	35	ribopools_no_heat_2
24	766	0.011792487323461	36	ribopools_no_heat_2
25	769	0.011838671999662544	37	ribopools_no_heat_2
26	419	0.006450459776149033	38	ribopools_no_heat_2
27	175	0.0026941061117567557	39	ribopools_no_heat_2
28	119	0.001831992155994594	40	ribopools_no_heat_2
